feature,mean_abs_shap
sensor_033,0.28018130132132857
sensor_059,0.25068116597144624
sensor_205,0.2362460345071626
sensor_519,0.197046920140589
sensor_488,0.19409296574185614
sensor_021,0.1902463309807401
sensor_031,0.1770571060870235
sensor_175,0.162819787061174
sensor_197,0.16087568925363302
sensor_129,0.15728502019908558
sensor_573,0.1485831935452062
sensor_180,0.12871220302187078
sensor_160,0.12840061801578123
sensor_200,0.1079649502891048
sensor_443,0.0930780297166417
sensor_090,0.08601059003972425
sensor_547,0.08402625181105497
sensor_019,0.0833260036918063
sensor_510,0.08013088744169948
sensor_183,0.07696263671510818
sensor_182,0.07692258243681126
sensor_480,0.07663549374010703
sensor_000,0.07619345603293483
sensor_419,0.07438572120200809
sensor_460,0.07102772960698572
sensor_163,0.0698291708934452
sensor_125,0.06598153498854231
sensor_202,0.06437845233137814
sensor_416,0.06354994949889904
sensor_039,0.06289423334841696
sensor_484,0.0624420935352003
sensor_563,0.06191223328030536
sensor_270,0.061560677224399465
sensor_417,0.0605911089226145
sensor_126,0.060477391519512626
sensor_500,0.05932422286278054
sensor_034,0.058564175895704826
sensor_316,0.0582911681638182
sensor_559,0.058280589849674914
sensor_124,0.05786193849237121
sensor_015,0.057116074333695276
sensor_250,0.05700616821886982
sensor_117,0.05678693500977524
sensor_511,0.055784309367637404
sensor_431,0.054019474408145834
sensor_499,0.05312683444962149
sensor_137,0.05207048386971811
sensor_014,0.050422308173140515
sensor_570,0.047567765046112
sensor_423,0.04620256389644564
sensor_336,0.04524695187417055
sensor_486,0.04472572408914994
sensor_048,0.044350024774236114
sensor_345,0.04396384006259729
sensor_016,0.0429607000070881
sensor_088,0.04269959527762626
sensor_491,0.042504151752455914
sensor_523,0.042231137963494036
sensor_071,0.04145427123132564
sensor_063,0.041271364298340676
sensor_133,0.03903133211358952
sensor_025,0.039005981417343905
sensor_489,0.03900277364725074
sensor_188,0.03875376950442058
sensor_444,0.038532439376524924
sensor_142,0.038427499719809396
sensor_070,0.03821970439814833
sensor_549,0.03815700114050478
sensor_184,0.03765116998699277
sensor_356,0.03764115900294723
sensor_218,0.03680472064054806
sensor_139,0.0366812569118486
sensor_050,0.03439811298726839
sensor_045,0.033354278376498736
sensor_043,0.03273129645217923
sensor_122,0.03258586130143886
sensor_123,0.03174369389710597
sensor_430,0.03142615236234251
sensor_268,0.03139644088890095
sensor_483,0.030590364087651416
sensor_433,0.029583962955267395
sensor_064,0.029468137679419883
sensor_055,0.028957213219396108
sensor_096,0.02703152018199542
sensor_037,0.026742938191066046
sensor_169,0.026732975838674008
sensor_029,0.02670198196591217
sensor_225,0.02653310491178283
sensor_195,0.026429140545271363
sensor_044,0.025776582459072363
sensor_539,0.025294517308296936
sensor_002,0.024852264489438
sensor_135,0.024417204295950932
sensor_159,0.02398724451713571
sensor_187,0.023438212794444895
sensor_068,0.02341372168981054
sensor_128,0.023341118842543168
sensor_161,0.02323427045414713
sensor_432,0.022919235391417006
sensor_571,0.022878274250794847
sensor_585,0.022773270270649834
sensor_001,0.022246927206280673
sensor_429,0.021993086291857086
sensor_151,0.021932431509113785
sensor_525,0.021401463990015548
sensor_203,0.021210446680280923
sensor_004,0.021008465295767994
sensor_546,0.020875009875629645
sensor_065,0.020654656667796947
sensor_073,0.020233552874485625
sensor_181,0.020109280308097357
sensor_024,0.019742783705999033
sensor_198,0.019452677353375712
sensor_164,0.01898305551632222
sensor_154,0.018955242474663323
sensor_269,0.01870286518942741
sensor_439,0.01867349441266681
sensor_006,0.01866023283848683
sensor_003,0.01861081041212792
sensor_204,0.018608267420195078
sensor_420,0.01811177725116358
sensor_207,0.018044022522254247
sensor_496,0.017992146084790276
sensor_185,0.01788763696913218
sensor_196,0.01780305353342185
sensor_551,0.017189637704144677
