model,role,test_pr_auc,test_roc_auc,test_precision,test_recall,test_f1,test_balanced_accuracy,test_false_alarm_rate,expected_cost,threshold,confusion_matrix,n_sensors_used,sensor_fraction,latest_index,n_features_selected,source
random_forest,early_detection_curve,0.0746926316260643,0.5176136363636363,0.05384615384615385,0.4375,0.0958904109589041,0.43920454545454546,0.5590909090909091,,0.2171299206877838,"[[97, 123], [9, 7]]",16,0.02711864406779661,16,5,early_detection_best.json
random_forest,early_detection_curve,0.09029205836780906,0.5446022727272728,0.07627118644067797,0.5625,0.13432835820895522,0.5335227272727272,0.4954545454545455,,0.2171299206877838,"[[111, 109], [7, 9]]",32,0.05423728813559322,32,15,early_detection_best.json
random_forest,early_detection_curve,0.21571443629792036,0.7255681818181818,0.12244897959183673,0.75,0.21052631578947367,0.6795454545454546,0.39090909090909093,,0.2171299206877838,"[[134, 86], [4, 12]]",64,0.10847457627118644,64,23,early_detection_best.json
random_forest,early_detection_curve,0.20570623641658994,0.7519886363636363,0.1375,0.6875,0.22916666666666666,0.6869318181818183,0.31363636363636366,,0.2171299206877838,"[[151, 69], [5, 11]]",128,0.21694915254237288,128,55,early_detection_best.json
random_forest,early_detection_curve,0.19472010466454664,0.7590909090909091,0.14457831325301204,0.75,0.24242424242424243,0.7136363636363636,0.32272727272727275,,0.2171299206877838,"[[149, 71], [4, 12]]",155,0.2627118644067797,155,73,early_detection_best.json
random_forest,early_detection_curve,0.22305521139625972,0.790340909090909,0.17647058823529413,0.75,0.2857142857142857,0.7477272727272728,0.2545454545454545,,0.2171299206877838,"[[164, 56], [4, 12]]",256,0.43389830508474575,256,137,early_detection_best.json
random_forest,early_detection_curve,0.2168241459929461,0.7730113636363636,0.15492957746478872,0.6875,0.25287356321839083,0.7073863636363636,0.2727272727272727,,0.2171299206877838,"[[160, 60], [5, 11]]",512,0.8677966101694915,512,177,early_detection_best.json
random_forest,early_detection_curve,0.22167590153069358,0.7588068181818182,0.1388888888888889,0.625,0.22727272727272727,0.6715909090909091,0.2818181818181818,,0.2171299206877838,"[[158, 62], [6, 10]]",590,1.0,590,198,early_detection_best.json
