feature,importance,abs_importance
sensor_059,0.02396740308765643,0.02396740308765643
sensor_033,0.021508046498701146,0.021508046498701146
sensor_205,0.01620558994549637,0.01620558994549637
sensor_510,0.01531676125642467,0.01531676125642467
sensor_031,0.01512391463121915,0.01512391463121915
sensor_519,0.014557991356447598,0.014557991356447598
sensor_129,0.011947471173968877,0.011947471173968877
sensor_064,0.011335171322466104,0.011335171322466104
sensor_200,0.010120284140016894,0.010120284140016894
sensor_065,0.009953008571214518,0.009953008571214518
sensor_122,0.009764923410301626,0.009764923410301626
sensor_183,0.008898634945057346,0.008898634945057346
sensor_021,0.008777104942724549,0.008777104942724549
sensor_028,0.008636405977274525,0.008636405977274525
sensor_423,0.008612570245573893,0.008612570245573893
sensor_488,0.008598452949835677,0.008598452949835677
sensor_125,0.008540795555186373,0.008540795555186373
sensor_316,0.008496726707615471,0.008496726707615471
sensor_180,0.008266996655126542,0.008266996655126542
sensor_563,0.007328965250048984,0.007328965250048984
sensor_443,0.007256076913593791,0.007256076913593791
sensor_126,0.007127701872588654,0.007127701872588654
sensor_014,0.007116882926571785,0.007116882926571785
sensor_460,0.0070424136763345396,0.0070424136763345396
sensor_160,0.006982515351115581,0.006982515351115581
sensor_336,0.00695246438006828,0.00695246438006828
sensor_547,0.006921490916240838,0.006921490916240838
sensor_270,0.006695733402813626,0.006695733402813626
sensor_090,0.0066929853999878825,0.0066929853999878825
sensor_035,0.006668161716526918,0.006668161716526918
sensor_039,0.006661749539162652,0.006661749539162652
sensor_038,0.0066443460901360035,0.0066443460901360035
sensor_182,0.006639215872622908,0.006639215872622908
sensor_070,0.006586052086635653,0.006586052086635653
sensor_420,0.006463607352043826,0.006463607352043826
sensor_468,0.006408421137792592,0.006408421137792592
sensor_124,0.006308373846095489,0.006308373846095489
sensor_175,0.006226330476140473,0.006226330476140473
sensor_489,0.006174767351032258,0.006174767351032258
sensor_197,0.006156127719992325,0.006156127719992325
sensor_117,0.006147867050225785,0.006147867050225785
sensor_016,0.006038713191952503,0.006038713191952503
sensor_573,0.006023873915427658,0.006023873915427658
sensor_063,0.006007264302315187,0.006007264302315187
sensor_431,0.005997377385562903,0.005997377385562903
sensor_137,0.00594980301742939,0.00594980301742939
sensor_055,0.005849079537049887,0.005849079537049887
sensor_159,0.005705189389277396,0.005705189389277396
