model,cv_pr_auc_mean,test_pr_auc,test_roc_auc,test_recall,test_precision,frozen_threshold,expected_cost,selected
dummy,0.06598204036197565,0.0683670143415906,0.5039772727272728,0.0625,0.07692307692307693,0.01,162.0,False
logistic_regression,0.17972149348719108,0.1681931443332724,0.7255681818181818,0.3125,0.14285714285714285,0.52,140.0,False
random_forest,0.22658514096614962,0.22162433465097206,0.7926136363636364,0.8125,0.19696969696969696,0.14,83.0,True
xgboost,0.19775145533447086,0.21326243308848797,0.7857954545454545,0.625,0.15625,0.02,114.0,False
