trial_id,family,window,emb_dim,hidden_size,num_layers,dropout,lr,val_pr_auc,test_pr_auc,test_roc_auc,test_recall,test_precision,n_pos,n_neg,status,error
trial_025,shallow+fast,64,8,128,1,0.0,0.001,0.3322747327262091,0.07617061101120517,0.5119453924914675,0.2857142857142857,0.061855670103092786,21,293,ok,
trial_025,shallow+fast,128,8,128,1,0.0,0.001,0.3322747327262091,0.21073164552371204,0.6947830326669916,0.6190476190476191,0.15294117647058825,21,293,ok,
trial_025,shallow+fast,256,8,128,1,0.0,0.001,0.3322747327262091,0.21377745500428927,0.6422883146432634,0.2857142857142857,0.11764705882352941,21,293,ok,
trial_025,shallow+fast,384,8,128,1,0.0,0.001,0.3322747327262091,0.16662686579711852,0.6426133593369089,0.42857142857142855,0.15,21,293,ok,
trial_025,shallow+fast,512,8,128,1,0.0,0.001,0.3322747327262091,0.1896923786113662,0.6167723061921014,0.2857142857142857,0.17142857142857143,21,293,ok,
trial_025,shallow+fast,full,8,128,1,0.0,0.001,0.3322747327262091,0.185331275724116,0.6097838452787258,0.23809523809523808,0.11904761904761904,21,293,ok,
trial_028,deep+fast,64,8,128,2,0.1,0.001,0.31769234063246854,0.08764501632196214,0.5639525434747279,0.3333333333333333,0.09210526315789473,21,293,ok,
trial_028,deep+fast,128,8,128,2,0.1,0.001,0.31769234063246854,0.18365530746500444,0.6814562002275313,0.5238095238095238,0.19298245614035087,21,293,ok,
trial_028,deep+fast,256,8,128,2,0.1,0.001,0.31769234063246854,0.12303546386414685,0.6162847391516333,0.3333333333333333,0.14,21,293,ok,
trial_028,deep+fast,384,8,128,2,0.1,0.001,0.31769234063246854,0.11687751617869686,0.606045831301804,0.38095238095238093,0.18181818181818182,21,293,ok,
trial_028,deep+fast,512,8,128,2,0.1,0.001,0.31769234063246854,0.12918618987152053,0.5563139931740614,0.38095238095238093,0.1702127659574468,21,293,ok,
trial_028,deep+fast,full,8,128,2,0.1,0.001,0.31769234063246854,0.15545663780580388,0.6000325044693645,0.23809523809523808,0.1388888888888889,21,293,ok,
trial_031,deep+slow,64,8,128,2,0.1,0.0003,0.20605928886816835,0.09491500570723081,0.5995449374288965,0.42857142857142855,0.0891089108910891,21,293,ok,
trial_031,deep+slow,128,8,128,2,0.1,0.0003,0.20605928886816835,0.10731549307095657,0.6650414431984397,0.6190476190476191,0.11304347826086956,21,293,ok,
trial_031,deep+slow,256,8,128,2,0.1,0.0003,0.20605928886816835,0.17373738974123318,0.7220867869332033,0.7619047619047619,0.12030075187969924,21,293,ok,
trial_031,deep+slow,384,8,128,2,0.1,0.0003,0.20605928886816835,0.16517778872944727,0.6951080773606371,0.7619047619047619,0.11510791366906475,21,293,ok,
trial_031,deep+slow,512,8,128,2,0.1,0.0003,0.20605928886816835,0.12373399202800081,0.682106289614822,0.8095238095238095,0.12142857142857143,21,293,ok,
trial_031,deep+slow,full,8,128,2,0.1,0.0003,0.20605928886816835,0.13639763720644518,0.6884446611409069,0.8095238095238095,0.09826589595375723,21,293,ok,
