sensor,rf_rank,xgb_rank,rf_composite_score,xgb_composite_score,rf_mean_abs_shap,xgb_mean_abs_shap,rf_shap_lift,xgb_shap_lift
sensor_417,29,22,0.1756542319095125,0.20994538774970012,0.0009250365675112,0.0605911089226145,3.230733711091332e-05,0.011885519146130247
sensor_484,23,30,0.1866319153401983,0.19135222811152244,0.0012938103638176,0.0624420935352003,-0.0001163224931492,0.014406484226273513
sensor_019,62,24,0.1372124054528283,0.2026739791794508,0.0010879514704942,0.0833260036918063,0.0010881021886055,0.06515843805256581
sensor_430,25,46,0.181323325906836,0.14544976910418128,0.0010023499104713,0.03142615236234251,-0.0004123587082415,-0.010829109868391872
sensor_423,26,53,0.1791478480036952,0.13947443652296548,0.0014470172810799,0.04620256389644564,-0.0002119699513682,-0.015382129485471827
sensor_547,28,26,0.1762035131785493,0.20009950895733075,0.0014529262497103,0.08402625181105497,-8.904058096616633e-05,0.004771438755400261
sensor_039,27,29,0.1772003373389507,0.19153731224757614,0.001205901095454,0.06289423334841696,5.345044504921436e-05,0.013446630093882824
sensor_126,34,27,0.1710750001550791,0.19606274975952392,0.0010522116613578,0.060477391519512626,0.0007298682405879,0.045251802333774835
sensor_443,55,28,0.1408259758400054,0.19192980592983871,0.0012909227370021,0.0930780297166417,-0.0005878490721664,-0.021707404362023664
sensor_122,30,123,0.1740918329085619,0.07942243187293237,0.0016120276473061,0.03258586130143886,0.0007754012237411,0.014674987663914622
sensor_000,83,31,0.1230907875236601,0.18969983953488181,0.0007443823951611,0.07619345603293483,0.0003962389390311,0.010295456345639973
sensor_159,31,61,0.1737803778252778,0.1301551906554872,0.0009470354393492,0.02398724451713571,-0.0003156437799563,-0.007711736042821211
sensor_125,32,57,0.1726166462053779,0.1322855467004797,0.0017987030709486,0.06598153498854231,0.0001447911223098,0.004280560822084401
sensor_416,43,32,0.156665873579614,0.1807590514105053,0.0011399647665148,0.06354994949889904,0.0003641008664737,0.03132425890019704
sensor_034,90,33,0.1183432963667818,0.18000572237734652,0.0005100379570151,0.058564175895704826,-0.0001172474418713,0.007573838845300858
sensor_270,40,34,0.1599883748382875,0.17709220975367543,0.0010746582211889,0.061560677224399465,-0.0002663790825435,-0.012982611896703052
sensor_468,35,107,0.1674036656504829,0.09062532484274427,0.0008427508066427,0.010542424202241898,0.0008301076210342,0.0018887447091098354
