trial_id,emb_dim,hidden_size,num_layers,dropout,lr,batch_size,val_loss,val_pr_auc,val_roc_auc,n_params,checkpoint_path,status,error
trial_103,32,128,2,0.1,0.0003,64,1.6467664241790771,0.14858796253165166,0.5761534839924671,168001,models\sequence_sweep\trial_103\sequence_gru.pt,ok,
trial_053,16,64,2,0.1,0.001,64,2.3314730723698935,0.1475366074150008,0.6607815442561205,44065,models\sequence_sweep\trial_053\sequence_gru.pt,ok,
trial_036,16,32,1,0.0,0.001,32,1.6170485292871792,0.1453682570401632,0.682791902071563,8033,models\sequence_sweep\trial_036\sequence_gru.pt,ok,
trial_017,8,64,2,0.1,0.001,64,3.028505523999532,0.14461209157792826,0.6292372881355932,40977,models\sequence_sweep\trial_017\sequence_gru.pt,ok,
trial_088,32,64,2,0.1,0.001,32,4.586746331769973,0.14456039806935375,0.698093220338983,50241,models\sequence_sweep\trial_088\sequence_gru.pt,ok,
trial_001,8,32,1,0.0,0.001,64,1.1631420751412709,0.14390582346746406,0.7535310734463276,5713,models\sequence_sweep\trial_001\sequence_gru.pt,ok,
trial_092,32,64,2,0.3,0.001,32,3.38302495641013,0.1425695344884607,0.6320621468926554,50241,models\sequence_sweep\trial_092\sequence_gru.pt,ok,
trial_026,8,128,1,0.0,0.0003,32,1.1914926419655483,0.13992098823072857,0.6847928436911488,55057,models\sequence_sweep\trial_026\sequence_gru.pt,ok,
trial_066,16,128,2,0.1,0.0003,32,1.6809431823591392,0.13952338567121433,0.685969868173258,158753,models\sequence_sweep\trial_066\sequence_gru.pt,ok,
trial_045,16,32,2,0.3,0.001,64,1.4516193568706512,0.13932186159335772,0.6802024482109228,14369,models\sequence_sweep\trial_045\sequence_gru.pt,ok,
trial_004,8,32,2,0.1,0.001,32,2.1285950168967247,0.13897960545688295,0.6671374764595103,12049,models\sequence_sweep\trial_004\sequence_gru.pt,ok,
trial_089,32,64,2,0.1,0.001,64,3.9085926612218223,0.13857994877005606,0.574741054613936,50241,models\sequence_sweep\trial_089\sequence_gru.pt,ok,
trial_020,8,64,2,0.3,0.001,32,3.783617856601874,0.13849115798574518,0.5998116760828625,40977,models\sequence_sweep\trial_020\sequence_gru.pt,ok,
trial_038,16,32,1,0.0,0.0003,32,1.2250428448120754,0.13626594267787703,0.611464218455744,8033,models\sequence_sweep\trial_038\sequence_gru.pt,ok,
trial_060,16,128,1,0.0,0.001,32,1.1559874316056569,0.13578976321581804,0.7049199623352165,59681,models\sequence_sweep\trial_060\sequence_gru.pt,ok,
trial_021,8,64,2,0.3,0.001,64,2.1629442969957986,0.13550466002676,0.6760828625235404,40977,models\sequence_sweep\trial_021\sequence_gru.pt,ok,
trial_039,16,32,1,0.0,0.0003,64,1.2121297121047974,0.1348254640422239,0.6353578154425612,8033,models\sequence_sweep\trial_039\sequence_gru.pt,ok,
trial_107,32,128,2,0.3,0.0003,64,1.4002939860026042,0.13476922427078133,0.6480696798493408,168001,models\sequence_sweep\trial_107\sequence_gru.pt,ok,
trial_074,32,32,1,0.0,0.0003,32,1.206126719713211,0.13446094404689535,0.6499529190207156,12673,models\sequence_sweep\trial_074\sequence_gru.pt,ok,
trial_022,8,64,2,0.3,0.0003,32,1.2197719489534695,0.13413144105020777,0.7277542372881357,40977,models\sequence_sweep\trial_022\sequence_gru.pt,ok,
trial_075,32,32,1,0.0,0.0003,64,1.2018177310625713,0.13238945592244272,0.6603107344632768,12673,models\sequence_sweep\trial_075\sequence_gru.pt,ok,
trial_002,8,32,1,0.0,0.0003,32,1.2284553622206051,0.13222970357974484,0.653954802259887,5713,models\sequence_sweep\trial_002\sequence_gru.pt,ok,
trial_062,16,128,1,0.0,0.0003,32,1.209947759906451,0.13108747295954537,0.7152777777777778,59681,models\sequence_sweep\trial_062\sequence_gru.pt,ok,
trial_087,32,64,1,0.0,0.0003,64,1.2494911154111226,0.12936327332459252,0.5795668549905838,25281,models\sequence_sweep\trial_087\sequence_gru.pt,ok,
trial_101,32,128,2,0.1,0.001,64,3.289599816004435,0.12843541042802137,0.6470103578154426,168001,models\sequence_sweep\trial_101\sequence_gru.pt,ok,
trial_073,32,32,1,0.0,0.001,64,1.317356248696645,0.12792756834862457,0.6672551789077212,12673,models\sequence_sweep\trial_073\sequence_gru.pt,ok,
trial_063,16,128,1,0.0,0.0003,64,1.22846923271815,0.1268295353640426,0.6685499058380415,59681,models\sequence_sweep\trial_063\sequence_gru.pt,ok,
trial_023,8,64,2,0.3,0.0003,64,1.2042800883452098,0.1260082257967739,0.6895009416195857,40977,models\sequence_sweep\trial_023\sequence_gru.pt,ok,
trial_086,32,64,1,0.0,0.0003,32,1.188098505139351,0.1259573439975063,0.6756120527306968,25281,models\sequence_sweep\trial_086\sequence_gru.pt,ok,
trial_093,32,64,2,0.3,0.001,64,2.716709872086843,0.12463542995051036,0.609934086629002,50241,models\sequence_sweep\trial_093\sequence_gru.pt,ok,
trial_095,32,64,2,0.3,0.0003,64,1.2606077293554943,0.12435676383758383,0.6520715630885122,50241,models\sequence_sweep\trial_095\sequence_gru.pt,ok,
trial_018,8,64,2,0.1,0.0003,32,1.28497114777565,0.12419306448397045,0.6950329566854991,40977,models\sequence_sweep\trial_018\sequence_gru.pt,ok,
trial_024,8,128,1,0.0,0.001,32,2.5186435089757047,0.12074196024972862,0.681497175141243,55057,models\sequence_sweep\trial_024\sequence_gru.pt,ok,
trial_000,8,32,1,0.0,0.001,32,1.318379374841849,0.12040359425570872,0.6776129943502824,5713,models\sequence_sweep\trial_000\sequence_gru.pt,ok,
trial_067,16,128,2,0.1,0.0003,64,1.3793951869010925,0.11865598801989743,0.637358757062147,158753,models\sequence_sweep\trial_067\sequence_gru.pt,ok,
trial_019,8,64,2,0.1,0.0003,64,1.2249896327654521,0.11630738513594277,0.6819679849340866,40977,models\sequence_sweep\trial_019\sequence_gru.pt,ok,
trial_015,8,64,1,0.0,0.0003,64,1.1920981208483379,0.11542655173396664,0.6772598870056497,16017,models\sequence_sweep\trial_015\sequence_gru.pt,ok,
trial_072,32,32,1,0.0,0.001,32,1.6992007369796436,0.11473673572462291,0.6410075329566856,12673,models\sequence_sweep\trial_072\sequence_gru.pt,ok,
trial_057,16,64,2,0.3,0.001,64,2.3606333335240683,0.11430196873640658,0.6253531073446328,44065,models\sequence_sweep\trial_057\sequence_gru.pt,ok,
