sensor,mean_abs_shap,shap_lift,spc_flag_rate
sensor_059,0.010309906119662563,0.018616745600982067,0.0
sensor_033,0.007461508467630756,0.003969646777597008,0.01694915254237288
sensor_103,0.006186155561236907,0.002544262154571425,0.00423728813559322
sensor_031,0.005764216240560791,-0.0016927842053145886,0.0
sensor_129,0.004442200770901485,0.0025062961018326355,0.0
sensor_130,0.004157327861856775,0.0022228158206784444,0.0
sensor_021,0.003928317079991673,0.001393652744496734,0.0211864406779661
sensor_205,0.0037585840944167727,0.003914739664648275,0.00423728813559322
sensor_510,0.00325954449523673,0.0013063763972535195,0.012711864406779662
sensor_064,0.0032351667788263743,0.0035242631864988794,0.01694915254237288
sensor_125,0.0032185105002594154,0.0006748644077376269,0.00423728813559322
sensor_213,0.002864011893001623,-0.000408144861426821,0.01694915254237288
sensor_065,0.002690553578845184,0.0022294510349254388,0.0211864406779661
sensor_431,0.002400353328576428,0.0009511861565609157,0.0211864406779661
sensor_000,0.002255909443936286,0.0008949682481942682,0.0211864406779661
sensor_316,0.002233055400116977,0.001288106604912501,0.00847457627118644
sensor_587,0.002148243489865838,-0.00033003724981380797,0.0211864406779661
sensor_081,0.0021328958675912156,-0.0011801583936683073,0.01694915254237288
sensor_203,0.002098297649062375,0.0009934372609183054,0.00423728813559322
sensor_163,0.00209642325157989,0.000987108889020507,0.0211864406779661
sensor_175,0.002037740170171417,0.00035985047098749444,0.00423728813559322
sensor_063,0.0018764190673249792,0.0003600456080156856,0.00423728813559322
sensor_122,0.0018544142119557747,0.00011566507579121046,0.00423728813559322
sensor_488,0.0018162165504345955,-0.0003923527028253027,0.0
sensor_079,0.00176815261327499,0.0011587020093685963,0.012711864406779662
sensor_146,0.0017653407768472194,-0.0002563188644344233,0.00847457627118644
sensor_014,0.0017545797558257469,-0.0007200885017338678,0.00423728813559322
sensor_102,0.0017520043908297795,0.0007499451018230141,0.0211864406779661
sensor_028,0.0016701673695346153,0.0011250967299986806,0.0
sensor_126,0.001633173733849044,0.00045526884849983993,0.01694915254237288
sensor_200,0.0016193039037719693,0.0003745036872520429,0.0
sensor_058,0.0015738184839063708,0.0013161889504716608,0.01694915254237288
sensor_160,0.0015627681436518833,0.0004343596829966751,0.029661016949152543
sensor_147,0.0015176706363987992,0.0011431009235178273,0.0
sensor_040,0.0014631196589609278,0.0014469327066853092,0.0
sensor_430,0.0014631114565750762,0.0005230418656443578,0.0211864406779661
sensor_571,0.0014624135608262946,0.0005905946306853127,0.012711864406779662
sensor_348,0.0014545912472206347,0.0036029545496417048,0.029661016949152543
sensor_180,0.001442821038149503,0.0004510744337936707,0.00423728813559322
sensor_188,0.0014256308800690903,0.0008371109973495472,0.0
sensor_195,0.00141694868544385,0.00028824146419161555,0.00423728813559322
sensor_086,0.0014039602258565005,-0.000472280413584174,0.00423728813559322
sensor_336,0.0013903536696864387,0.0005240689277722816,0.00423728813559322
sensor_197,0.0013743246896188639,0.0004502311035075169,0.00423728813559322
sensor_460,0.0013477170289943074,0.0005401333573243582,0.0211864406779661
sensor_090,0.0013452677256122346,0.001100247455929562,0.00847457627118644
sensor_183,0.0012718524064558863,-4.0590993547299e-05,0.0
sensor_480,0.001268650486290729,-0.001411134582107572,0.00847457627118644
sensor_207,0.0012516131503119258,0.0004612648129046088,0.0
sensor_070,0.00125035283486225,-0.0006892211420911617,0.00847457627118644
sensor_484,0.00124208599529357,-0.00023301530495359608,0.012711864406779662
sensor_068,0.001235117492222611,-9.860971960830647e-05,0.00423728813559322
sensor_438,0.0012291446250191423,-0.0006623158001468167,0.00847457627118644
sensor_182,0.0012159799272205777,0.000616821719349699,0.0
sensor_019,0.0012118179076713118,0.0011926694205913841,0.00423728813559322
sensor_486,0.001209677155096622,-0.0002625207047863723,0.0
sensor_091,0.0012026255856209633,0.0005640142231002406,0.01694915254237288
sensor_078,0.0011997563516667937,0.0006134941352994347,0.00423728813559322
sensor_181,0.001192611698732891,-7.964831746418681e-05,0.0
sensor_216,0.0011872153788223198,-8.768616082734717e-05,0.01694915254237288
sensor_115,0.0011847975135671329,0.000275640586107019,0.0211864406779661
sensor_511,0.0011770689187473066,-0.00020816498668002416,0.0
sensor_008,0.0011680555537206677,-0.00011889061251979305,0.00423728813559322
sensor_144,0.0011476680549222379,0.0004333709099942963,0.012711864406779662
sensor_039,0.0011448399594419473,-0.00035350341890542903,0.012711864406779662
sensor_016,0.0011226107992550712,-0.00013178828779332854,0.0
sensor_022,0.0011157211429732657,-0.0002470016396893687,0.0211864406779661
sensor_559,0.0010952738093677483,-9.906117375246537e-05,0.025423728813559324
sensor_489,0.001079266715466039,-0.00011324264755761883,0.012711864406779662
sensor_143,0.0010761976294203087,2.2249907033369918e-05,0.012711864406779662
sensor_223,0.0010618442958388178,-0.0005840603038579906,0.0
sensor_433,0.0010513264211997715,0.00032003320835006176,0.05084745762711865
sensor_161,0.0010418453922322348,-0.00045081057614351566,0.01694915254237288
sensor_187,0.0010403649760852161,-0.00015157352216971026,0.0
sensor_035,0.0010402558481111095,0.001098452611331809,0.01694915254237288
sensor_218,0.0010272051255764425,3.1906827389587564e-05,0.00423728813559322
sensor_468,0.0010255276242557034,0.00025289356679886345,0.012711864406779662
sensor_172,0.0010228157901017174,-0.00018307849270211886,0.00423728813559322
sensor_135,0.001020015424266037,-0.000498928868008304,0.0211864406779661
sensor_118,0.0010030241422367245,-0.0005279974194594337,0.00847457627118644
sensor_145,0.0009988847648978764,-0.0002963012481114591,0.01694915254237288
sensor_227,0.0009676938228277695,0.00018188755588306813,0.025423728813559324
