sensor,mean_abs_shap,shap_lift,spc_flag_rate,composite_score
sensor_059,0.25068116597144624,0.46311153620176304,0.01910828025477707,0.8179435098774671
sensor_033,0.28018130132132857,0.12463797348805924,0.01592356687898089,0.6395630254586253
sensor_519,0.197046920140589,0.11369112561619137,0.025477707006369428,0.5194076719253748
sensor_205,0.2362460345071626,0.10140077253667798,0.0031847133757961785,0.49904626050782896
sensor_021,0.1902463309807401,0.069679673177716,0.01592356687898089,0.443467231499463
sensor_573,0.1485831935452062,0.012329949563621032,0.028662420382165606,0.3790250389372465
sensor_488,0.19409296574185614,-0.04903647652528018,0.0,0.3781357479545162
sensor_160,0.12840061801578123,0.012889979877905501,0.03503184713375796,0.36690024164893265
sensor_129,0.15728502019908558,0.07397419658633815,0.0,0.3286042640685035
sensor_031,0.1770571060870235,0.018089072335294443,0.0,0.32768677079692593
sensor_197,0.16087568925363302,0.020010980602938676,0.0031847133757961785,0.3118197842846963
sensor_175,0.162819787061174,0.006266767423889886,0.0031847133757961785,0.306385748208302
sensor_180,0.12871220302187078,0.0383781222407073,0.0031847133757961785,0.2663202421474577
sensor_460,0.07102772960698572,0.04905909292015459,0.022292993630573247,0.24088619275147044
sensor_163,0.0698291708934452,0.03562272090204072,0.022292993630573247,0.23004331847776022
sensor_572,0.014601311149551295,-0.001752491403910714,0.054140127388535034,0.22719214805284793
sensor_510,0.08013088744169948,0.03775565112005658,0.01592356687898089,0.22627962075189748
sensor_480,0.07663549374010703,-0.050814143515902854,0.012738853503184714,0.21673636773063032
sensor_090,0.08601059003972425,0.04209758707374107,0.009554140127388535,0.21605555571615187
sensor_570,0.047567765046112,0.019637888931410954,0.03184713375796178,0.21525580090749885
sensor_523,0.042231137963494036,-0.010374979080916972,0.03503184713375796,0.211496542165308
sensor_417,0.0605911089226145,0.011885519146130247,0.025477707006369428,0.20994538774970012
sensor_200,0.1079649502891048,0.0031120961883359774,0.0031847133757961785,0.20645049672739108
sensor_019,0.0833260036918063,0.06515843805256581,0.0031847133757961785,0.2026739791794508
sensor_431,0.054019474408145834,0.017457550515672146,0.025477707006369428,0.2018274376750892
sensor_547,0.08402625181105497,0.004771438755400261,0.012738853503184714,0.20009950895733075
sensor_126,0.060477391519512626,0.045251802333774835,0.01592356687898089,0.19606274975952392
sensor_443,0.0930780297166417,-0.021707404362023664,0.0031847133757961785,0.19192980592983871
sensor_039,0.06289423334841696,0.013446630093882824,0.01910828025477707,0.19153731224757614
sensor_484,0.0624420935352003,0.014406484226273513,0.01910828025477707,0.19135222811152244
sensor_000,0.07619345603293483,0.010295456345639973,0.012738853503184714,0.18969983953488181
sensor_416,0.06354994949889904,0.03132425890019704,0.012738853503184714,0.1807590514105053
sensor_034,0.058564175895704826,0.007573838845300858,0.01910828025477707,0.18000572237734652
sensor_270,0.061560677224399465,-0.012982611896703052,0.01592356687898089,0.17709220975367543
sensor_038,0.01500060010018496,0.0022178606391064296,0.03821656050955414,0.16938263576148993
sensor_182,0.07692258243681126,0.029918596917896677,0.0031847133757961785,0.16841860648026297
sensor_483,0.030590364087651416,0.010038681355027253,0.028662420382165606,0.16697563421299955
sensor_250,0.05700616821886982,-0.03709317934596608,0.009554140127388535,0.1610536443779506
sensor_549,0.03815700114050478,0.012604036675025108,0.022292993630573247,0.1586111479419433
sensor_491,0.042504151752455914,0.016228473437955297,0.01910828025477707,0.15695206937697567
sensor_025,0.039005981417343905,0.006269623141906029,0.022292993630573247,0.15602282002603707
sensor_071,0.04145427123132564,-0.009702850747511253,0.01910828025477707,0.15085124897682267
sensor_139,0.0366812569118486,-0.0034219165203801735,0.022292993630573247,0.15002949062323925
sensor_356,0.03764115900294723,-0.013383476438182846,0.01910828025477707,0.14643080637638456
sensor_563,0.06191223328030536,0.03585879987561937,0.0031847133757961785,0.1454797727879687
sensor_430,0.03142615236234251,-0.010829109868391872,0.022292993630573247,0.14544976910418128
sensor_419,0.07438572120200809,-0.01897372969841521,0.0,0.145036723970503
sensor_117,0.05678693500977524,0.027921972315868935,0.006369426751592357,0.14295666837934315
sensor_471,0.015614190523110034,-0.013411531006998642,0.028662420382165606,0.14243467765377812
sensor_316,0.0582911681638182,0.02173728429071455,0.006369426751592357,0.14163466873859673
sensor_183,0.07696263671510818,-0.005847098718644942,0.0,0.14113205316088084
sensor_063,0.041271364298340676,0.011187723164014365,0.01592356687898089,0.13972202356044186
sensor_423,0.04620256389644564,-0.015382129485471827,0.012738853503184714,0.13947443652296548
sensor_412,0.015809979576574477,-0.004070800105525486,0.028662420382165606,0.13673322293156892
sensor_124,0.05786193849237121,0.04742088190669805,0.0,0.13397690333334503
sensor_037,0.026742938191066046,-0.005546539163200543,0.022292993630573247,0.13367029052490198
sensor_125,0.06598153498854231,0.004280560822084401,0.0031847133757961785,0.1322855467004797
sensor_015,0.057116074333695276,0.010536246234288765,0.006369426751592357,0.13228170063595596
sensor_024,0.019742783705999033,-0.0031044818104387466,0.025477707006369428,0.13136086380167522
sensor_202,0.06437845233137814,0.0064231261528182185,0.0031847133757961785,0.13081268839691157
sensor_159,0.02398724451713571,-0.007711736042821211,0.022292993630573247,0.1301551906554872
sensor_494,0.016078410793270458,-0.0037059538453003147,0.025477707006369428,0.12521120380321915
sensor_137,0.05207048386971811,-0.02998277668133796,0.0031847133757961785,0.1241101510376091
sensor_164,0.01898305551632222,-0.011728767909733446,0.022292993630573247,0.12382712281582678
sensor_096,0.02703152018199542,0.006819243913851062,0.01910828025477707,0.1232450242649346
sensor_064,0.029468137679419883,0.015197825069290568,0.01592356687898089,0.12125618430004781
sensor_003,0.01861081041212792,-0.007093549329606022,0.022292993630573247,0.12016017151618102
sensor_496,0.017992146084790276,-0.007520781831459044,0.022292993630573247,0.11933288650632323
sensor_225,0.02653310491178283,-0.0018459792928581555,0.01910828025477707,0.11913393132964414
sensor_499,0.05312683444962149,-0.03751192445578707,0.0,0.11910788738890653
sensor_135,0.024417204295950932,0.004690525923525561,0.01910828025477707,0.1172006571863837
sensor_444,0.038532439376524924,0.0018558925058110923,0.012738853503184714,0.11702445888513537
sensor_559,0.058280589849674914,0.0015144093893188844,0.0031847133757961785,0.11675086639539918
sensor_088,0.04269959527762626,-0.006079062344721884,0.009554140127388535,0.1154320237430283
sensor_429,0.021993086291857086,0.008240620847273878,0.01910828025477707,0.11517439961684142
sensor_184,0.03765116998699277,0.0007842593206852985,0.012738853503184714,0.11475758633849235
sensor_434,0.013490862215905827,0.011463761023575738,0.022292993630573247,0.11385431169449899
sensor_432,0.022919235391417006,-0.0011689459928710634,0.01910828025477707,0.11224619193250847
sensor_585,0.022773270270649834,0.00132349385772539,0.01910828025477707,0.11208582348306503
sensor_500,0.05932422286278054,-0.0065524492028547964,0.0,0.11011218741473179
sensor_035,0.014276301343865972,0.0024490880684462568,0.022292993630573247,0.10941633995280337
sensor_023,0.007958070147659476,-0.0010123051641141591,0.025477707006369428,0.10897505427673146
sensor_199,0.007065249179003487,0.002764286519332935,0.025477707006369428,0.10851668248397739
sensor_014,0.050422308173140515,0.00954657246028662,0.0031847133757961785,0.10793047274675638
sensor_476,0.009365080261673812,-0.012599447830589165,0.022292993630573247,0.10722730025730601
sensor_511,0.055784309367637404,0.011597448093740952,0.0,0.10706311420768724
sensor_571,0.022878274250794847,0.011384745934795666,0.01592356687898089,0.10702610310453613
sensor_546,0.020875009875629645,-0.01679036908747392,0.01592356687898089,0.10695288012147597
sensor_433,0.029583962955267395,0.010797672838700173,0.012738853503184714,0.10684779152476928
sensor_336,0.04524695187417055,0.021375796142053607,0.0031847133757961785,0.10635762303603426
sensor_048,0.044350024774236114,-0.004878894680049259,0.006369426751592357,0.1058351471562496
sensor_345,0.04396384006259729,0.023348644449467784,0.0031847133757961785,0.1053458301639332
sensor_026,0.011232244399113725,0.002119866177851315,0.022292993630573247,0.103770774075233
sensor_120,0.013443787246825725,0.013911227512643579,0.01910828025477707,0.10359104724829601
sensor_065,0.020654656667796947,0.010837875480694025,0.01592356687898089,0.10270366846717066
