feature,mean_abs_shap
sensor_140,1.2657328781591142
sensor_004,0.16690142413920614
sensor_059,0.06122252006278349
sensor_000,0.046809132915714265
sensor_443,0.04615781302038923
sensor_028,0.04333561327216896
sensor_488,0.040945659580427146
sensor_460,0.040108489437424004
sensor_129,0.03926017257925874
sensor_014,0.039221465511933444
sensor_416,0.03858085262208536
sensor_115,0.03802863416665899
sensor_485,0.03797817149213608
sensor_316,0.0372584271764425
sensor_142,0.03692793545314169
sensor_133,0.03554055913109773
sensor_166,0.03450601467946424
sensor_491,0.03333839551595159
sensor_175,0.033059140178250235
sensor_511,0.032903518661520595
sensor_090,0.032399656447642054
sensor_183,0.0321236160524108
sensor_031,0.03158680503787246
sensor_019,0.031210976838017282
sensor_510,0.031073724837325407
sensor_486,0.031063274533166114
sensor_122,0.028749753064371487
sensor_125,0.028586119898139334
sensor_134,0.028041621474486834
sensor_188,0.027800843290874018
sensor_124,0.027335917956910493
sensor_563,0.026794550802428183
sensor_138,0.026502137939303252
sensor_468,0.0264703862663124
sensor_423,0.024949604211366428
sensor_180,0.024863223472160363
sensor_545,0.024257241648305075
sensor_417,0.02359012385127949
sensor_161,0.023267681148346035
sensor_442,0.022783269025101405
sensor_169,0.02261016694623418
sensor_573,0.0225888086549095
sensor_021,0.022266597651543093
sensor_126,0.02094204550017814
sensor_182,0.020793940539319915
sensor_064,0.020391425580440735
sensor_519,0.020370433334621418
sensor_043,0.018955099804928065
sensor_123,0.01878219923054246
sensor_032,0.018394830830321875
sensor_572,0.018346808745005282
sensor_526,0.01826553741420512
sensor_170,0.01821346159816588
sensor_539,0.01816021941317508
sensor_547,0.018099690242668613
sensor_413,0.016916044066207295
sensor_065,0.016498720814231548
sensor_071,0.016196472081125762
sensor_033,0.01607682660730323
sensor_050,0.016005329916007904
sensor_201,0.01575088864665677
sensor_496,0.01570491377921791
sensor_040,0.015469759782332181
sensor_160,0.015374205629725737
sensor_045,0.014997801467287835
sensor_562,0.014948616617743427
sensor_569,0.014755526668403672
sensor_128,0.01474071841025076
sensor_062,0.014138291932936675
sensor_047,0.013971050465780453
sensor_044,0.013859617848871195
sensor_418,0.01372504226234645
sensor_046,0.013627820927455632
sensor_025,0.01356520663669348
sensor_060,0.013356324586568134
sensor_268,0.013308983738563514
sensor_218,0.013076112750123088
sensor_006,0.013043800603691137
sensor_571,0.012959019869754153
sensor_022,0.012742085650920868
sensor_203,0.01248005546860127
sensor_137,0.012416001145187223
sensor_337,0.012193794186028709
sensor_433,0.012182605891419193
sensor_484,0.01202357505172958
sensor_250,0.012022294176604302
sensor_024,0.011854380454770328
sensor_055,0.011559743911754431
sensor_208,0.011547854125945499
sensor_356,0.011277251775125
sensor_225,0.011183018466830308
sensor_070,0.01115331042034905
sensor_177,0.011066258005532308
sensor_431,0.010995456453148138
sensor_499,0.010544242217577738
sensor_521,0.010313958885286072
sensor_048,0.010170935963473399
sensor_197,0.009921405089895155
sensor_480,0.009788818508283718
sensor_589,0.009570514149280299
sensor_473,0.009490317630267602
sensor_150,0.009487933729502315
sensor_493,0.009437621225132097
sensor_200,0.00935603350679788
sensor_088,0.009299140148984548
sensor_063,0.009273580289081438
sensor_273,0.009265956283299648
sensor_205,0.008397983032588922
sensor_489,0.00830310965325716
sensor_439,0.008276313533381945
sensor_018,0.008244434474286395
sensor_155,0.007951074483144062
